"Temperature","Revenue","Location"
24.6,535,"Lake Arrowhead"
26.1,626,"Pasadena Community College"
27.8,661,"UCSD"
20.6,488,"Balboa Pier"
11.6,317,"UCI"
14.4,368,"Pasadena Community College"
13.8,309,"Big Bear"
30.9,697,"Huntington Beach"
1,56,"Griffith Park"
31.7,738,"UCSD"
11.5,326,"Huntington Beach"
3.7,72,"UCSD"
18.9,468,"Pasadena Community College"
13.7,290,"Pasadena Community College"
39.6,906,"Irvine Spectrum"
18.5,470,"Big Bear"
26,649,"UCI"
42.6,922,"Balboa Pier"
29.6,650,"Santa Monica Pier"
21.8,535,"UCSD"
25.5,613,"Santa Monica Pier"
15.3,354,"Big Bear"
22.7,525,"UCI"
16.3,375,"Balboa Pier"
23.9,524,"Balboa Pier"
19,474,"UCSD"
15.7,403,"Santa Monica Pier"
29.2,680,"UCSD"
19.1,518,"Huntington Beach"
35.2,810,"Balboa Pier"
24.2,529,"Irvine Spectrum"
15.3,357,"Griffith Park"
8.8,238,"Santa Monica Pier"
18.3,419,"Pasadena Community College"
35.7,810,"Lake Tahoe"
37.1,871,"UCSD"
22.3,551,"Balboa Pier"
17.6,406,"Pasadena Community College"
31.8,741,"Santa Monica Pier"
17.1,502,"UCI"
23.1,540,"Irvine Spectrum"
8.8,243,"UCI"
18.8,422,"UCI"
14.2,359,"Griffith Park"
18.7,468,"Big Bear"
15.7,397,"Griffith Park"
21,501,"Huntington Beach"
30.7,652,"Pasadena Community College"
20.5,452,"Lake Arrowhead"
31.3,698,"Irvine Spectrum"
6.4,191,"UCI"
27.2,622,"Irvine Spectrum"
28.7,667,"Griffith Park"
28,629,"Santa Monica Pier"
10.4,220,"Balboa Pier"
27.4,624,"Balboa Pier"
33.3,750,"UCSD"
36.6,828,"Griffith Park"
12.5,304,"Lake Arrowhead"
14.4,352,"Big Bear"
16.4,382,"Balboa Pier"
11.6,322,"UCI"
33.6,775,"Huntington Beach"
4,132,"UCI"
20.6,499,"Huntington Beach"
6.6,196,"Big Bear"
19.9,497,"UCI"
11.7,285,"Irvine Spectrum"
21.5,484,"Santa Monica Pier"
18.8,431,"UCI"
12.7,277,"UCSD"
27.9,628,"Pasadena Community College"
27,644,"Pasadena Community College"
27.4,624,"Santa Monica Pier"
24.2,587,"Balboa Pier"
28.8,654,"Big Bear"
40.5,919,"Irvine Spectrum"
25.6,592,"UCSD"
28.8,652,"Griffith Park"
29.5,683,"Irvine Spectrum"
16.1,373,"Irvine Spectrum"
14.8,382,"UCI"
22.2,516,"UCSD"
29.1,686,"UCI"
29.3,655,"Lake Tahoe"
16.4,407,"Lake Tahoe"
27.8,644,"Lake Tahoe"
13.4,345,"UCI"
29.4,643,"Huntington Beach"
14.4,362,"Griffith Park"
30.5,705,"Big Bear"
9.1,223,"Griffith Park"
23.1,544,"Huntington Beach"
8.6,222,"Pasadena Community College"
12.4,338,"Lake Tahoe"
9.1,213,"UCI"
20.3,475,"Santa Monica Pier"
19.4,461,"Lake Tahoe"
14.7,344,"Huntington Beach"
10,284,"Irvine Spectrum"
20,469,"Griffith Park"
32.1,712,"Huntington Beach"
14.3,323,"UCI"
17.7,402,"Big Bear"
26.6,628,"UCSD"
17.3,416,"Irvine Spectrum"
23.8,554,"UCSD"
15.6,363,"Huntington Beach"
28.5,644,"Pasadena Community College"
27.8,652,"Irvine Spectrum"
25.5,604,"Big Bear"
18.5,428,"Big Bear"
24.3,566,"Irvine Spectrum"
31.7,734,"Irvine Spectrum"
17.7,386,"Lake Arrowhead"
31.9,690,"Lake Arrowhead"
26,573,"Santa Monica Pier"
29.4,720,"Balboa Pier"
11.1,307,"Lake Tahoe"
25.5,597,"UCSD"
23,541,"Pasadena Community College"
13,342,"Griffith Park"
28.3,656,"Santa Monica Pier"
30.6,703,"UCSD"
12.6,320,"Pasadena Community College"
19.1,451,"Lake Tahoe"
16,383,"Lake Arrowhead"
26.2,675,"Santa Monica Pier"
31.5,732,"Santa Monica Pier"
32.3,752,"Griffith Park"
21.7,497,"Santa Monica Pier"
20.5,418,"Pasadena Community College"
19.5,449,"UCI"
20.2,478,"Irvine Spectrum"
6.1,159,"Big Bear"
22.9,517,"Balboa Pier"
24.6,600,"Santa Monica Pier"
28.6,657,"UCSD"
19.8,508,"Big Bear"
12.5,280,"UCI"
36.8,842,"Huntington Beach"
19.7,484,"Pasadena Community College"
32.5,740,"Santa Monica Pier"
19.3,487,"Huntington Beach"
19.8,457,"Balboa Pier"
8.7,242,"Lake Arrowhead"
29.5,619,"Irvine Spectrum"
19.3,447,"UCI"
24.7,604,"Lake Tahoe"
12.5,275,"Santa Monica Pier"
24.6,532,"Huntington Beach"
12.3,298,"Big Bear"
12.3,320,"Big Bear"
19.8,494,"Lake Arrowhead"
23.4,587,"Griffith Park"
21.2,498,"Lake Tahoe"
18.9,477,"Lake Tahoe"
28.3,626,"Lake Tahoe"
16.5,391,"Santa Monica Pier"
29,676,"Santa Monica Pier"
10.3,274,"Griffith Park"
11.1,281,"Balboa Pier"
25.5,584,"Santa Monica Pier"
28,649,"UCI"
28.5,727,"UCI"
13.4,336,"Lake Tahoe"
26,571,"Pasadena Community College"
32.9,686,"Big Bear"
32.8,776,"Balboa Pier"
32.2,774,"UCI"
24.8,541,"Big Bear"
15.1,367,"Pasadena Community College"
23.5,540,"Huntington Beach"
35.3,810,"Huntington Beach"
16.4,377,"Big Bear"
20.6,478,"Huntington Beach"
21.4,521,"Lake Arrowhead"
27,655,"Big Bear"
22.7,519,"Balboa Pier"
33.3,783,"Santa Monica Pier"
9,251,"Huntington Beach"
26.9,635,"Balboa Pier"
21.4,489,"Big Bear"
22.1,521,"Lake Arrowhead"
29.2,653,"UCSD"
16.2,384,"UCSD"
35.4,797,"UCSD"
11.2,294,"Lake Tahoe"
16.6,415,"Griffith Park"
30.4,692,"UCSD"
13,340,"Irvine Spectrum"
19.9,472,"Pasadena Community College"
21,500,"UCSD"
23.6,543,"Irvine Spectrum"
16.6,402,"Big Bear"
30.7,681,"Lake Arrowhead"
9.9,259,"Santa Monica Pier"
31.6,716,"UCSD"
25.5,609,"Lake Arrowhead"
25.3,575,"UCI"
26.9,616,"Irvine Spectrum"
21.5,534,"UCSD"
24,579,"Pasadena Community College"
10.5,279,"Lake Arrowhead"
5.9,187,"Santa Monica Pier"
16.2,396,"UCI"
24,538,"UCSD"
9.8,229,"Big Bear"
24,604,"Lake Arrowhead"
10.1,273,"Huntington Beach"
22.4,494,"Lake Arrowhead"
27.4,613,"Balboa Pier"
20.3,438,"Lake Arrowhead"
23.2,507,"Lake Tahoe"
15.8,410,"Irvine Spectrum"
27.6,563,"Santa Monica Pier"
18.8,403,"Pasadena Community College"
22.7,533,"Griffith Park"
18,414,"Big Bear"
13.2,333,"Griffith Park"
24.9,564,"Lake Tahoe"
18.7,473,"Big Bear"
25.9,597,"Pasadena Community College"
26.3,597,"Lake Tahoe"
13.4,269,"Huntington Beach"
21.6,529,"Big Bear"
27.2,628,"Lake Arrowhead"
27,619,"Lake Arrowhead"
38.2,851,"UCSD"
4.3,119,"Lake Tahoe"
9.5,279,"Irvine Spectrum"
20.2,450,"Huntington Beach"
19.8,449,"Lake Tahoe"
19.2,464,"Santa Monica Pier"
19.2,475,"Big Bear"
36.2,825,"Balboa Pier"
23.5,554,"UCI"
30,697,"Lake Tahoe"
32.1,676,"Lake Arrowhead"
29.8,696,"Huntington Beach"
11.2,289,"Santa Monica Pier"
23.4,507,"Lake Arrowhead"
27.8,619,"UCI"
15.1,368,"UCSD"
6.4,192,"Lake Tahoe"
14.3,335,"Lake Tahoe"
25.5,584,"Balboa Pier"
24.8,539,"Pasadena Community College"
16.4,395,"Huntington Beach"
18.2,474,"Irvine Spectrum"
18.6,428,"Big Bear"
32.4,748,"Santa Monica Pier"
7.6,213,"Balboa Pier"
31.5,692,"Santa Monica Pier"
28.4,633,"Lake Arrowhead"
17.7,449,"Pasadena Community College"
21.8,522,"Pasadena Community College"
18.5,438,"Lake Arrowhead"
32.5,707,"Balboa Pier"
17.4,406,"Pasadena Community College"
21.1,504,"Santa Monica Pier"
23.6,571,"Pasadena Community College"
30.8,707,"Santa Monica Pier"
22.7,544,"Irvine Spectrum"
28.9,642,"Lake Tahoe"
9.7,275,"Irvine Spectrum"
18.6,421,"Pasadena Community College"
5.4,146,"Santa Monica Pier"
35.5,829,"UCSD"
24.8,595,"Lake Tahoe"
24.7,604,"Pasadena Community College"
28.5,652,"Huntington Beach"
25,608,"UCI"
25.5,626,"UCSD"
22.3,536,"Pasadena Community College"
24.8,531,"UCI"
22.5,536,"Big Bear"
35.1,782,"Irvine Spectrum"
33.8,798,"Huntington Beach"
22.6,522,"UCI"
28.5,608,"Griffith Park"
23.5,535,"UCSD"
26.1,600,"UCSD"
28.9,663,"Huntington Beach"
22.2,513,"Lake Arrowhead"
26.4,575,"Lake Tahoe"
25.1,551,"Lake Arrowhead"
26.5,555,"UCSD"
22.2,497,"Griffith Park"
15.6,351,"Big Bear"
17.7,410,"Griffith Park"
28.8,632,"UCSD"
27.6,662,"Lake Tahoe"
27.2,643,"Pasadena Community College"
10.5,322,"Lake Tahoe"
17.6,413,"Santa Monica Pier"
24.6,539,"Griffith Park"
38,858,"Huntington Beach"
17,426,"Griffith Park"
7.8,199,"Lake Tahoe"
5.9,171,"Santa Monica Pier"
26.9,600,"Pasadena Community College"
24.5,559,"Pasadena Community College"
22,551,"Pasadena Community College"
30.1,715,"UCSD"
21.3,527,"Balboa Pier"
32.5,760,"Huntington Beach"
17.1,442,"Big Bear"
33.4,757,"Pasadena Community College"
23.5,543,"Pasadena Community College"
19,455,"Huntington Beach"
12.3,336,"UCI"
25.2,576,"Lake Arrowhead"
27.1,595,"Griffith Park"
25.8,622,"Griffith Park"
22.4,521,"Huntington Beach"
25.2,588,"Pasadena Community College"
22.2,538,"Lake Tahoe"
28.3,640,"Griffith Park"
21.8,468,"Lake Tahoe"
15.2,375,"Balboa Pier"
25.4,605,"Balboa Pier"
18.5,464,"Santa Monica Pier"
22.9,551,"UCSD"
14.4,316,"Lake Tahoe"
7.3,224,"Balboa Pier"
25.3,564,"UCI"
21,490,"Balboa Pier"
19.8,459,"Lake Arrowhead"
42,966,"Balboa Pier"
28.7,690,"Big Bear"
29.3,679,"Santa Monica Pier"
15.9,380,"Balboa Pier"
20.9,509,"UCI"
30.5,685,"Balboa Pier"
24.9,599,"Griffith Park"
19.9,417,"Pasadena Community College"
22.2,572,"UCSD"
34.1,772,"Santa Monica Pier"
9.6,236,"UCI"
25.6,580,"Balboa Pier"
19.1,407,"Pasadena Community College"
23.1,537,"Lake Tahoe"
8.1,250,"Lake Tahoe"
29.8,703,"Balboa Pier"
12.2,336,"Irvine Spectrum"
35.1,808,"UCI"
25,565,"Irvine Spectrum"
38.2,857,"Huntington Beach"
19,483,"Huntington Beach"
18.8,437,"Pasadena Community College"
7.3,217,"Huntington Beach"
12.8,296,"Lake Tahoe"
24.6,595,"Santa Monica Pier"
39.8,936,"Lake Arrowhead"
30.3,649,"Pasadena Community College"
24.5,597,"Big Bear"
20.3,499,"Griffith Park"
20.3,476,"Santa Monica Pier"
14.9,385,"UCI"
28.8,634,"Santa Monica Pier"
29.8,660,"UCSD"
26.4,610,"Huntington Beach"
6.8,200,"UCI"
23.3,556,"UCSD"
24.4,595,"UCI"
25.8,573,"UCSD"
21.7,479,"Huntington Beach"
26.2,564,"Balboa Pier"
21.7,546,"Lake Tahoe"
18.9,445,"Pasadena Community College"
0.3,33,"Big Bear"
19.7,507,"Pasadena Community College"
20.2,492,"Pasadena Community College"
24,560,"Pasadena Community College"
29.3,698,"Griffith Park"
34.9,799,"Lake Arrowhead"
11.2,279,"Griffith Park"
26.2,595,"Irvine Spectrum"
39.9,876,"Santa Monica Pier"
20.5,514,"UCSD"
17.9,441,"Lake Tahoe"
18.4,411,"Lake Tahoe"
10,257,"Lake Arrowhead"
25.1,584,"UCI"
12.1,279,"Santa Monica Pier"
37,852,"Griffith Park"
14.8,323,"Griffith Park"
7.2,222,"Lake Tahoe"
38.1,820,"UCI"
27,645,"Irvine Spectrum"
12.5,284,"Big Bear"
10.2,277,"UCSD"
17.6,403,"UCI"
12.1,301,"Lake Tahoe"
30.5,691,"UCSD"
7.4,193,"UCSD"
22.7,547,"Lake Tahoe"
28.1,666,"Big Bear"
33.6,751,"Lake Arrowhead"
24.3,570,"UCSD"
38.7,917,"UCSD"
0,10,"Lake Tahoe"
24.4,573,"Santa Monica Pier"
26.2,659,"Huntington Beach"
5.4,243,"Irvine Spectrum"
18,442,"UCSD"
31,703,"UCSD"
29.8,644,"UCI"
32.7,819,"Balboa Pier"
21.2,494,"Balboa Pier"
18.6,444,"Griffith Park"
14.6,324,"Pasadena Community College"
41.8,970,"UCI"
27.2,659,"Balboa Pier"
20.1,478,"Huntington Beach"
20.6,426,"Pasadena Community College"
27.6,650,"Balboa Pier"
30.3,680,"Santa Monica Pier"
21.7,506,"Griffith Park"
20.1,474,"Balboa Pier"
17.3,406,"Santa Monica Pier"
17.2,429,"Balboa Pier"
35.5,801,"UCSD"
19.2,446,"Pasadena Community College"
19,451,"Griffith Park"
26.2,618,"Lake Arrowhead"
20,542,"Pasadena Community College"
27.8,655,"Griffith Park"
21.1,522,"UCI"
25.4,604,"Irvine Spectrum"
24.2,589,"Balboa Pier"
27.6,635,"Irvine Spectrum"
8.8,247,"Pasadena Community College"
27.6,641,"Balboa Pier"
16,382,"UCI"
17.2,391,"Balboa Pier"
28.8,655,"Balboa Pier"
17.2,413,"Irvine Spectrum"
8.8,265,"Griffith Park"
31.1,685,"Santa Monica Pier"
19.3,460,"Big Bear"
27.2,616,"Irvine Spectrum"
30.1,699,"UCI"
45,1000,"Lake Tahoe"
19,450,"UCI"
15.2,323,"UCI"
21.9,494,"Big Bear"
29.6,630,"Irvine Spectrum"
19.3,453,"Big Bear"
29.9,684,"Huntington Beach"
21.7,538,"Irvine Spectrum"
25,609,"Huntington Beach"
31.2,747,"Huntington Beach"
34.7,757,"Lake Tahoe"
21,492,"Huntington Beach"
37.2,893,"UCSD"
26.4,647,"UCSD"
35.4,805,"UCI"
24.5,527,"UCI"
38.7,892,"Lake Arrowhead"
29,637,"Balboa Pier"
12.2,298,"Pasadena Community College"
11.6,258,"Pasadena Community College"
17.5,392,"UCI"
20.9,495,"Lake Arrowhead"
40.4,927,"Pasadena Community College"
26.6,613,"Griffith Park"
39.6,899,"Balboa Pier"
22.4,490,"Big Bear"
9.4,292,"Huntington Beach"
19.5,430,"Huntington Beach"
22.3,501,"UCSD"
18.9,476,"Balboa Pier"
21.8,531,"Lake Arrowhead"
18.2,454,"Huntington Beach"
14.9,297,"Huntington Beach"
28.9,683,"Huntington Beach"
25.4,582,"Griffith Park"
18.6,433,"Lake Arrowhead"
22.5,508,"UCI"
30.1,692,"UCSD"
17,449,"Huntington Beach"
27.3,613,"UCSD"
4.9,189,"Santa Monica Pier"
23.5,502,"UCI"
12.4,334,"Griffith Park"
32.7,794,"Lake Arrowhead"
16.8,380,"Big Bear"
27,582,"Huntington Beach"
23.9,585,"Irvine Spectrum"
34.5,810,"Pasadena Community College"
23.1,553,"Big Bear"
15,378,"Huntington Beach"
25.2,572,"Lake Arrowhead"
22.3,525,"Balboa Pier"
32.9,756,"Santa Monica Pier"
12.6,307,"Huntington Beach"
22.4,567,"Huntington Beach"
29,656,"Huntington Beach"
